product_name,link,product_images,price,details,category,gender
FLORAL PRINT SWIMMING TRUNKS,https://www.zara.com/in/en/floral-print-swimming-trunks-p02634307.html,https://static.zara.net/photos///2023/I/0/2/p/2634/307/526/2/w/448/2634307526_6_1_1.jpg?ts=1689260268194,41.86,Swimming trunks made of technical fabric. Elasticated waistband with adjustable drawstring. Front pockets and rear welt pocket. Lining. Includes a bag in the same fabric.Length of inner leg seam: 12 cm. / 4.7″Length of outer leg seam: 33 cm. / 12.9″View more,SWIMWEAR,men
LONG SWIMMING TRUNKS WITH SUN DETAIL,https://www.zara.com/in/en/long-swimming-trunks-with-sun-detail-p08574388.html,https://static.zara.net/photos///2023/I/0/2/p/8574/388/402/2/w/448/8574388402_6_1_1.jpg?ts=1689260268015,36.26,Swimming trunks made of a velvety-finish technical fabric. Elasticated waistband with adjustable drawstring. Front pockets and a rear zip pocket. Lining. Length of inner leg seam: 17 cm. / 6.6″Length of outer leg seam: 41 cm. / 16.1″View more,SWIMWEAR,men
MOSAIC PRINT SWIMMING TRUNKS,https://www.zara.com/in/en/mosaic-print-swimming-trunks-p00495316.html,https://static.zara.net/photos///2023/I/0/2/p/0495/316/403/2/w/448/0495316403_6_1_1.jpg?ts=1689260267956,36.26,Swimming trunks made of technical fabric. Elasticated waistband with adjustable drawstring. Side pockets and a rear patch pocket with a flap. Lining.Length of inner leg seam: 12 cm. / 4.7″Length of outer leg seam: 33 cm. / 12.9″View more,SWIMWEAR,men
LONG PRINTED SWIMMING TRUNKS,https://www.zara.com/in/en/long-printed-swimming-trunks-p00495313.html,https://static.zara.net/photos///2023/I/0/2/p/0495/313/802/2/w/448/0495313802_1_1_1.jpg?ts=1687346678711,36.26,Swimming trunks made of a technical fabric. Elasticated waistband and adjustable drawstrings. Side pockets and a back patch pocket. Lining.Length of inner leg seam: 16 cm. / 6.2″Length of outer leg seam: 39 cm. / 15.3″View more,SWIMWEAR,men
BASIC SLIM FIT T-SHIRT,https://www.zara.com/in/en/basic-slim-fit-t-shirt-p05584461.html,https://static.zara.net/photos///2023/V/0/1/p/5584/461/250/2/w/448/5584461250_2_1_1.jpg?ts=1675790634469,13.86,Stretch cotton T-shirt featuring a round neck and short sleeves.,SWIMWEAR,men
DOUBLE-STRAP SANDALS,https://www.zara.com/in/en/double-strap-sandals-p12700120.html,https://static.zara.net/photos///2023/V/1/2/p/2700/120/800/2/w/448/2700120800_2_1_1.jpg?ts=1670846673452,41.86,Slide sandals. Two wide straps across the instep with buckle details. Insole with anatomical shoe last and matching chunky sole.,SWIMWEAR,men
SEERSUCKER SWIMMING TRUNKS,https://www.zara.com/in/en/seersucker-swimming-trunks-p08574418.html,https://static.zara.net/photos///2023/V/0/2/p/8574/418/807/2/w/448/8574418807_6_1_1.jpg?ts=1678814850639,41.86,Swimming trunks made of technical fabric. Elasticated waistband. Front pockets and side zip pocket detail. Patch pocket at the back. Lining. Side vents at the hem. Zip fly and snap-button fastening.Length of inner leg seam: 18 cm. / 7.0″Length of outer leg seam: 38 cm. / 14.9″View more,SWIMWEAR,men
ABSTRACT PRINT SWIMMING TRUNKS,https://www.zara.com/in/en/abstract-print-swimming-trunks-p00495307.html,https://static.zara.net/photos///2023/I/0/1/p/0495/307/712/2/w/448/0495307712_1_1_1.jpg?ts=1686064939700,36.26,Swimming trunks made of technical fabric. Elasticated waistband and adjustable drawstring. Front welt pockets and back patch pocket detail. Lining.Length of inner leg seam: 14 cm. / 5.5″Length of outer leg seam: 33 cm. / 12.9″View more,SWIMWEAR,men
LONG SWIMMING TRUNKS,https://www.zara.com/in/en/long-swimming-trunks-p08574384.html,https://static.zara.net/photos///2023/I/0/2/p/8574/384/611/2/w/448/8574384611_1_1_1.jpg?ts=1689157210723,36.26,Swimming trunks made of a technical fabric. Adjustable elasticated waistband with drawstring. Front pockets and back zip pocket. Lining.Length of inner leg seam: 17 cm. / 6.6″Length of outer leg seam: 40 cm. / 15.7″View more,SWIMWEAR,men
STRIPED TECHNICAL SWIMMING TRUNKS,https://www.zara.com/in/en/striped-technical-swimming-trunks-p08574383.html,https://static.zara.net/photos///2023/I/0/2/p/8574/383/505/2/w/448/8574383505_1_1_1.jpg?ts=1689157410719,41.86,Swimming trunks made of a technical fabric. Adjustable elasticated waistband with side tabs. Front pockets and back patch pocket. Lining.Length of inner leg seam: 15 cm. / 5.9″Length of outer leg seam: 37 cm. / 14.5″View more,SWIMWEAR,men
TIE-DYE PRINT SWIMMING TRUNKS,https://www.zara.com/in/en/tie-dye-print-swimming-trunks-p00495320.html,https://static.zara.net/photos///2023/I/0/2/p/0495/320/555/2/w/448/0495320555_6_1_1.jpg?ts=1689162979201,36.26,Swimming trunks made of a technical fabric. Adjustable elasticated waistband. Side pockets and a rear patch pocket. Lining.Length of inner leg seam: 11 cm. / 4.3″Length of outer leg seam: 32 cm. / 12.5″View more,SWIMWEAR,men
LONG TIE-DYE SWIMMING TRUNKS,https://www.zara.com/in/en/long-tie-dye-swimming-trunks-p08574369.html,https://static.zara.net/photos///2023/I/0/1/p/8574/369/300/2/w/448/8574369300_6_1_1.jpg?ts=1689169420465,36.26,Swimming trunks made of technical fabric. Adjustable elasticated waistband. Front pockets and back zip pocket. Lining.Length of inner leg seam: 17 cm. / 6.6″Length of outer leg seam: 38 cm. / 14.9″View more,SWIMWEAR,men
FLORAL PRINT SWIMMING TRUNKS,https://www.zara.com/in/en/floral-print-swimming-trunks-p08574308.html,https://static.zara.net/photos///2023/I/0/2/p/8574/308/406/2/w/448/8574308406_1_1_1.jpg?ts=1687346680923,36.26,Swimming trunks made of technical fabric. Adjustable elasticated waistband with drawstring. Side pockets and back patch pocket with flap. Lining.Length of inner leg seam: 17 cm. / 6.6″Length of outer leg seam: 37 cm. / 14.5″View more,SWIMWEAR,men
SLOGAN PRINT SWIMMING TRUNKS,https://www.zara.com/in/en/slogan-print-swimming-trunks-p00495308.html,https://static.zara.net/photos///2023/I/0/2/p/0495/308/605/2/w/448/0495308605_1_1_1.jpg?ts=1687347056786,36.26,Swimming trunks made of a technical fabric. Elasticated waistband and adjustable drawstring. Side pockets and a back patch pocket. Lining.Length of inner leg seam: 12 cm. / 4.7″Length of outer leg seam: 34 cm. / 13.3″View more,SWIMWEAR,men
FISH PRINT SWIMMING TRUNKS,https://www.zara.com/in/en/fish-print-swimming-trunks-p08574328.html,https://static.zara.net/photos///2023/I/0/2/p/8574/328/626/2/w/448/8574328626_1_1_1.jpg?ts=1687346684393,36.26,Swimming trunks made of technical fabric. Adjustable elasticated waistband with drawstring. Side pockets and a back patch pocket. Lining.Length of inner leg seam: 12 cm. / 4.7″Length of outer leg seam: 33 cm. / 12.9″View more,SWIMWEAR,men
BLEND PRINT SWIMMING TRUNKS,https://www.zara.com/in/en/blend-print-swimming-trunks-p00495310.html,https://static.zara.net/photos///2023/I/0/2/p/0495/310/620/2/w/448/0495310620_6_1_1.jpg?ts=1684426407643,36.26,Swimming trunks made of a velvety-finish technical fabric. Elasticated waistband and adjustable drawstring. Side pockets and a back patch pocket. Lining.Length of inner leg seam: 14 cm. / 5.5″Length of outer leg seam: 36 cm. / 14.1″View more,SWIMWEAR,men
GEOMETRIC PRINT SWIMMING TRUNKS,https://www.zara.com/in/en/geometric-print-swimming-trunks-p00495303.html,https://static.zara.net/photos///2023/I/0/2/p/0495/303/555/2/w/448/0495303555_1_1_1.jpg?ts=1687346678282,36.26,Swimming trunks made of a technical fabric. Elasticated waistband and adjustable drawstring. Side pockets and a back patch pocket. Lining.Length of inner leg seam: 12 cm. / 4.7″Length of outer leg seam: 33 cm. / 12.9″View more,SWIMWEAR,men
GEOMETRIC PRINT SWIMMING TRUNKS,https://www.zara.com/in/en/geometric-print-swimming-trunks-p08574427.html,https://static.zara.net/photos///2023/V/0/2/p/8574/427/306/2/w/448/8574427306_1_1_1.jpg?ts=1680521189654,36.26,Swimming trunks made of technical fabric. Elasticated waistband and adjustable drawstrings. Side pockets and a back patch pocket. Lining. Side vents at the hem.Length of inner leg seam: 12 cm. / 4.7″Length of outer leg seam: 35 cm. / 13.7″View more,SWIMWEAR,men
FLORAL PRINT SWIMMING TRUNKS,https://www.zara.com/in/en/floral-print-swimming-trunks-p08574303.html,https://static.zara.net/photos///2023/I/0/2/p/8574/303/615/2/w/448/8574303615_1_1_1.jpg?ts=1687346683624,36.26,Swimming trunks made of technical fabric. Adjustable elasticated waistband with drawstring. Side pockets and a back patch pocket. Lining.Length of inner leg seam: 12 cm. / 4.7″Length of outer leg seam: 32 cm. / 12.5″View more,SWIMWEAR,men
